station,network,latitude,longitude
AFK,IS,32.8375,35.129
ALMG,IS,31.7897,35.4611
ALMT,IS,32.708,35.5468
ALN,IS,32.7211,35.1423
AMAZ,IS,31.5325,34.9154
AMID,IS,32.927,35.5393
ARD,IS,31.2497,35.2207
ARIL,IS,32.1041,35.2097
BLGI,IS,32.7335,35.192
BROR,IS,29.7109,34.9861
BRSH,IS,32.3189,35.5431
BSHV,IS,31.2633,34.8038
BTNR,IS,31.6491,34.8719
BTOR,IS,32.7299,35.0058
BTSH,IS,32.4978,35.498
CVYN,IS,32.5954,35.5186
DSHN,IS,33.0829,35.5195
DSI,IS,31.5918,35.3933
EIL,IS,29.6724,34.9521
ELAT,IS,29.5507,34.9494
ELFZ,IS,29.7972,35.0131
ELOT,IS,29.5822,34.9639
ENGV,IS,32.7815,35.6385
EYHV,IS,30.6592,35.2376
GDOT,IS,33.0164,35.6194
GEM,IS,33.2106,35.6632
GHAJ,IS,31.3034,35.5665
GLHS,IS,32.7134,35.6496
GNNR,IS,32.528,35.3354
GOSH,IS,33.2196,35.624
GRFT,IS,29.9414,35.0638
HDNS,IS,32.928,35.6412
HMDT,IS,32.2529,35.526
HMRA,IS,32.1999,35.4357
HNTI,IS,33.0885,35.1724
HRFI,IS,30.0363,35.037
HTCH,IS,32.7789,35.0239
HTRR,IS,31.1872,35.2413
HULT,IS,33.0504,35.611
HYGV,IS,32.6107,35.2011
HZVA,IS,30.7675,35.2801
IDAN,IS,30.8334,35.2738
IUI,IS,29.5013,34.9159
IZRL,IS,32.5629,35.3227
JER,IS,31.7724,35.1981
KARV,IS,31.8063,35.4997
KDZV,IS,33.0294,35.6948
KEGD,IS,31.4521,35.3844
KMKB,IS,32.7899,35.1138
KNHM,IS,32.8837,35.5792
KRMI,IS,30.1177,34.7257
KRPN,IS,32.4584,35.5548
KRSH,IS,33.2076,35.5684
KSH0,IS,32.9816,35.811
KSHI,IS,32.9816,35.811
KZIT,IS,30.9066,34.3978
LOD,IS,31.9602,34.9022
LTN,IS,29.9882,35.0866
LVBS,IS,33.1409,35.6497
MB1I,IS,32.7312,35.6527
MBRI,IS,29.7945,34.9147
MDBI,IS,31.3126,35.358
MEFR,IS,32.0708,35.4033
MEHL,IS,32.3658,35.516
MGDL,IS,32.8403,35.5072
MLDT,IS,32.5884,35.438
MMA0B,IS,33.0153,35.4031
MMLI,IS,32.4393,35.4126
MNHM,IS,32.6636,35.5523
MPRN,IS,30.3627,35.1543
MRHV,IS,32.6054,35.309
MRON,IS,33.0152,35.403
MSAM,IS,33.2469,35.5487
MSBI,IS,31.3126,35.358
MSLM,IS,31.5693,35.4
MSPR,IS,30.6145,35.1862
MTLA,IS,33.2781,35.5783
NAMA,IS,31.9067,35.4666
NATI,IS,33.262,35.7363
NTGD,IS,31.9916,35.4453
NTKR,IS,30.9342,35.3759
NVZR,IS,31.1535,35.3651
OFRI,IS,32.6216,34.9862
ORTZ,IS,30.9763,35.2605
PRNI,IS,30.3522,35.0052
PZL,IS,32.0422,35.443
RGMN,IS,32.1686,35.5216
RMNI,IS,30.597,34.7625
RMOT,IS,32.8515,35.6645
ROI,IS,32.2482,35.4878
RSFT,IS,32.6083,35.0929
RSPN,IS,32.9704,35.5463
SAMR,IS,29.8331,35.0215
SDBK,IS,30.854,34.7829
SHGL,IS,32.6858,35.6043
SLMZ,IS,32.1021,35.4927
SLTI,IS,32.2407,35.041
SPR,IS,32.8647,35.5388
TVR,IS,32.7813,35.5397
VJRH,IS,31.8268,35.4346
YFRK,IS,30.1997,35.1308
YFTH,IS,33.1274,35.551
YGR,IS,32.74,35.076
YHL,IS,30.0834,35.1286
YITV,IS,31.9469,35.4229
YTIR,IS,31.3625,35.1157
YTVT,IS,29.8921,35.0591
ZEFT,IS,32.9688,35.4936
ZFRI,IS,30.5649,35.1787
ZRT,IS,33.1015,35.2901
ZUKM,IS,30.4915,35.1668
